driver,latitude,longitude,speed_limit,num_lanes
farj7,30.267876,-91.9924923,65,2
farj7,30.2745974,-91.9716264,65,2
farj7,30.2755097,-91.9686432,65,2
farj7,30.2790586,-91.9561134,65,2
farj7,30.2833737,-92.021344,65,2
farj7,30.284407,-91.9418089,65,2
farj7,30.286029,-92.0221292,65,2
farj7,30.2899117,-91.929924,65,2
farj7,30.2925714,-91.9143646,65,2
farj7,30.2926143,-91.9142904,65,2
farj7,30.2926612,-91.9146523,65,2
farj7,30.2927015,-91.9146953,65,2
farj7,30.2929233,-91.9137077,65,2
farj7,30.2933637,-91.9151191,65,2
farj7,30.294226,-91.9132541,65,2
farj7,30.2945075,-91.9139683,65,2
farj7,30.2945207,-91.913965,65,2
farj7,30.2949932,-91.9133533,65,2
farj7,30.295088,-91.9133343,65,2
farj7,30.2950898,-91.9133335,65,2
farj7,30.2970153,-91.9098062,65,2
farj7,30.3141954,-91.8393613,65,2
farj7,30.3221864,-91.798813,65,2
farj7,30.3224441,-89.8524274,65,2
farj7,30.3265018,-89.8638906,65,2
farj7,30.3403217,-91.7311559,65,2
farj7,30.3417364,-91.725724,60,2
farj7,30.3507502,-91.6908529,60,2
farj7,30.3516461,-91.687551,60,2
farj7,30.3976753,-89.7280622,60,2
farj7,30.4003298,-89.7272777,70,2
farj7,30.4021766,-91.5024003,70,2
farj7,30.4042584,-91.4947096,70,2
farj7,30.4134852,-91.4529105,70,2
farj7,30.4155113,-91.4452054,70,2
farj7,30.4169686,-91.0971118,70,3
farj7,30.4177826,-91.1048403,70,3
farj7,30.4187685,-91.11212,70,3
farj7,30.4188243,-91.1126436,70,3
farj7,30.4188836,-91.1131639,70,3
farj7,30.4199762,-91.0842997,60,3
farj7,30.4235336,-91.1436096,60,4
farj7,30.4236215,-91.1444533,60,3.5
farj7,30.4236651,-91.1448732,60,3
farj7,30.4263933,-92.0595513,60,3
farj7,30.4295913,-90.0872936,60,3
farj7,30.4303144,-90.0903506,70,2
farj7,30.4315417,-91.0515466,70,2
farj7,30.4347622,-92.0676853,70,2
farj7,30.4390895,-91.1889851,70,3
farj7,30.4391466,-91.1900101,70,3
farj7,30.4391466,-91.1900101,70,3
farj7,30.4407751,-91.2174556,70,2
farj7,30.4409435,-91.2183327,70,2
farj7,30.4409899,-91.2185475,70,2
farj7,30.4452066,-91.2430111,70,2
farj7,30.4456796,-90.9948513,70,2
farj7,30.446487,-90.99153,70,2
farj7,30.4481862,-91.2444003,70,2
farj7,30.4485497,-91.2485058,70,2
farj7,30.4487313,-91.2492945,70,2
farj7,30.4645464,-89.6929134,70,2
farj7,30.464886,-92.0767366,70,2
farj7,30.4710254,-90.8551176,70,2
farj7,30.4714771,-90.8517104,70,2
farj7,30.4739327,-90.7692382,70,2
farj7,30.4743472,-90.7293288,70,2
farj7,30.4743882,-90.7452135,70,2
farj7,30.4744685,-90.737142,70,2
farj7,30.4762417,-90.5971578,70,2
farj7,30.4764877,-90.5940179,70,2
farj7,30.4788705,-90.4808095,70,2
farj7,30.4789756,-90.5526314,70,2
farj7,30.4790312,-89.6784301,70,1.5
farj7,30.479142,-90.5625658,70,2
farj7,30.4791677,-90.4941928,52.5,2
farj7,30.4802164,-90.3387989,52.5,2
farj7,30.4812168,-90.3258528,70,2
farj7,30.4814867,-90.4912471,52.5,2
farj7,30.4999644,-92.0719013,70,2
farj7,30.5089679,-89.6663818,70,2
farj7,30.5216248,-92.0679396,70,2.5
farj7,30.5804311,-92.0321941,70,2.5
farj7,30.5824903,-92.033046,70,2.5
farj7,30.5827965,-89.6278605,70,2.5
farj7,30.5990542,-89.618982,70,2.5
farj7,30.6126737,-89.6093824,70,2.5
farj7,30.6937951,-90.5328724,70,2.5
farj7,30.6967944,-90.5328803,70,2
farj7,30.7064708,-88.122694,58.3333333333333,2.25
farj7,30.7088982,-88.1251075,45,2.66666666666667
kell0,30.7102614,-88.0520393,65,3
farj7,30.7200085,-88.1501442,45,4
kell0,30.7256728,-88.0706927,65,2.5
farj7,30.7262375,-88.1693746,45,4
kell0,30.7264876,-88.0718514,65,2.5
kell0,30.7264876,-88.0718514,65,2.5
kell0,30.7271796,-88.072737,45,1.71428571428571
kell0,30.7277058,-88.0732971,49,1.75
kell0,30.7278528,-88.0734521,45,1.55555555555556
farj7,30.7278671,-88.073443,45,1.5
kell0,30.7279943,-88.0729911,48.3333333333333,1.57142857142857
kell0,30.728351,-88.0722709,45,1.55555555555556
farj7,30.7285337,-88.0742465,45,1.25
farj7,30.7285337,-88.0742465,45,1.25
farj7,30.7309027,-88.0638201,45,2
farj7,30.7309667,-88.0633361,45,2
farj7,30.7322915,-88.0499745,45,2
farj7,30.7323057,-88.0584446,45,4
farj7,30.732403,-88.0500057,45,4
farj7,30.7325325,-88.0571251,45,2.5
farj7,30.7329904,-88.0506439,45,2.5
kell0,30.7330512,-88.0501602,45,2.5
farj7,30.7332913,-88.1754287,45,4
farj7,30.7333777,-88.0427375,45,4
farj7,30.7338267,-88.0560821,45,4
farj7,30.7340215,-88.0539276,45,4
farj7,30.7340289,-88.0538794,45,4
farj7,30.7340298,-88.0538817,45,4
farj7,30.7340303,-88.0538818,45,4
farj7,30.7340468,-88.0548309,45,4
kell0,30.7340517,-88.0533556,45,4
farj7,30.7340581,-88.0549018,45,4
farj7,30.7341541,-88.0529445,45,4
farj7,30.7354879,-88.0531218,45,4
farj7,30.7357135,-88.0532294,45,4
farj7,30.7362676,-88.0531903,45,4
farj7,30.7362857,-88.0531099,45,4
farj7,30.7363891,-88.0529118,45,4
farj7,30.7364404,-88.0521052,45,4
kell0,30.7376921,-88.0535401,45,4
kell0,30.7388115,-88.1778629,45,4
kell0,30.7409494,-88.1787971,45,4
farj7,30.7438449,-88.1804557,45,4
