driver,trip_id,start_time,end_time,trip_time,distance
woow59,100001997,2015-05-08 02:06:50,2015-05-08 02:11:50,5,0.712
woow59,100001998,2015-05-08 02:35:18,2015-05-08 05:44:18,189,147.921
woow59,100001999,2015-05-08 06:11:24,2015-05-08 09:59:24,228,140.585
woow59,100002000,2015-05-08 10:29:06,2015-05-08 12:43:06,134,84.35
woow59,100002001,2015-05-08 13:16:14,2015-05-08 13:28:14,12,1.59
woow59,100002002,2015-05-10 09:59:22,2015-05-10 11:40:22,101,64.634
woow59,100002003,2015-05-10 12:07:50,2015-05-10 19:06:50,419,333.942
woow59,100002004,2015-05-11 07:35:10,2015-05-11 09:18:10,103,61.698
woow59,100002005,2015-05-11 10:11:16,2015-05-11 11:28:16,77,42.644
woow59,100002006,2015-05-11 12:01:36,2015-05-11 16:49:36,288,236.104
woow59,100002007,2015-05-11 19:50:00,2015-05-11 19:57:00,7,2.473
woow59,100002008,2015-05-12 06:30:16,2015-05-12 07:27:16,57,35.616
woow59,100002009,2015-05-12 09:46:14,2015-05-12 11:45:14,119,97.828
woow59,100002010,2015-05-12 12:06:20,2015-05-12 16:31:20,265,209.399
woow59,100002011,2015-05-12 17:38:14,2015-05-12 17:44:14,6,0.577
woow59,100002012,2015-05-13 09:21:38,2015-05-13 09:34:38,13,0.67
woow59,100002013,2015-05-13 10:55:02,2015-05-13 11:03:02,8,0.686
woow59,100002014,2015-05-13 13:21:52,2015-05-13 15:02:52,101,41.682
woow59,100002015,2015-05-13 17:26:18,2015-05-13 17:34:18,8,8.641
woow59,100002016,2015-05-13 18:05:00,2015-05-13 21:49:00,224,186.937
woow59,100002017,2015-05-14 07:58:12,2015-05-14 10:13:12,135,60.683
woow59,100002018,2015-05-14 12:18:36,2015-05-14 19:43:36,445,307.637
woow59,100002019,2015-05-15 06:05:18,2015-05-15 06:19:18,14,0.612
woow59,100002020,2015-05-15 07:31:00,2015-05-15 14:05:00,394,278.965
woow59,100002021,2015-05-15 14:34:54,2015-05-15 18:51:54,257,192.695
woow59,100002022,2015-05-18 06:52:12,2015-05-18 09:46:12,174,103.255
woow59,100002023,2015-05-18 10:49:24,2015-05-18 14:03:24,194,163.793
woow59,100002024,2015-05-18 14:36:46,2015-05-18 17:48:46,192,120.29
woow59,100002025,2015-05-19 04:05:20,2015-05-19 04:34:20,29,4.442
woow59,100002026,2015-05-19 04:58:08,2015-05-19 06:22:08,84,73.136
woow59,100002027,2015-05-19 06:42:28,2015-05-19 07:55:28,73,67.795
woow59,100002028,2015-05-19 09:40:48,2015-05-19 10:42:48,62,26.206
woow59,100002029,2015-05-19 12:10:42,2015-05-19 13:45:42,95,73.925
woow59,100002030,2015-05-20 02:13:16,2015-05-20 04:19:16,126,94.964
woow59,100002031,2015-05-20 04:56:20,2015-05-20 06:21:20,85,55.322
woow59,100002032,2015-05-20 06:42:42,2015-05-20 09:17:42,155,142.265
woow59,100002033,2015-05-20 10:07:36,2015-05-20 13:12:36,185,136.003
woow59,100002034,2015-05-21 06:17:12,2015-05-21 07:12:12,55,30.174
woow59,100002035,2015-05-21 08:51:32,2015-05-21 10:25:32,94,45.591
woow59,100002036,2015-05-21 11:20:14,2015-05-21 13:15:14,115,60.805
woow59,100002037,2015-05-21 14:53:24,2015-05-21 19:34:24,281,230.317
woow59,100002038,2015-05-22 05:50:18,2015-05-22 07:31:18,101,56.734
woow59,100002039,2015-05-22 08:20:14,2015-05-22 10:54:14,154,60.625
woow59,100002040,2015-05-22 11:20:50,2015-05-22 14:34:50,194,112.897
woow59,100002041,2015-05-22 16:14:56,2015-05-22 16:59:56,45,11.415
woow59,100002042,2015-05-22 17:38:46,2015-05-22 17:49:46,11,5.559
woow59,100002043,2015-05-22 19:06:08,2015-05-22 19:17:08,11,4.875
woow59,100002044,2015-05-23 09:33:30,2015-05-23 09:42:30,9,4.937
woow59,100002045,2015-05-23 10:33:36,2015-05-23 10:40:36,7,4.655
woow59,100002046,2015-05-27 08:50:10,2015-05-27 10:10:10,80,26.615
woow59,100002047,2015-05-27 12:24:44,2015-05-27 16:07:44,223,163.614
woow59,100002048,2015-05-27 17:11:40,2015-05-27 17:13:40,2,1.36
woow59,100002049,2015-05-27 17:59:44,2015-05-27 21:29:44,210,173.618
woow59,100002050,2015-05-28 08:22:56,2015-05-28 10:04:56,102,59.397
rice30,100006739,2015-04-10 13:11:02,2015-04-10 13:40:02,29,9.941
rice30,100006740,2015-04-10 14:04:42,2015-04-10 14:33:42,29,6.596
rice30,100006741,2015-04-10 15:20:12,2015-04-10 17:33:12,133,90.89
rice30,100006742,2015-04-10 18:10:04,2015-04-10 20:31:04,141,129.396
rice30,100006743,2015-04-10 21:11:32,2015-04-10 22:03:32,52,42.391
rice30,100006744,2015-04-11 09:57:26,2015-04-11 11:54:26,117,81.414
rice30,100006745,2015-04-11 13:15:40,2015-04-11 21:04:40,469,288.342
rice30,100006746,2015-04-11 21:54:38,2015-04-11 23:39:38,105,88.192
rice30,100006747,2015-04-12 09:53:50,2015-04-12 12:28:50,155,101.676
rice30,100006748,2015-04-12 13:38:48,2015-04-12 19:28:48,350,243.201
rice30,100006749,2015-04-12 20:24:10,2015-04-12 20:40:10,16,4.027
rice30,100006750,2015-04-13 09:53:42,2015-04-13 10:55:42,62,39.599
rice30,100006751,2015-04-13 11:20:24,2015-04-13 14:28:24,188,127.079
rice30,100006752,2015-04-13 15:14:58,2015-04-13 15:57:58,43,25.086
rice30,100006753,2015-04-13 16:35:00,2015-04-13 18:23:00,108,82.503
rice30,100006754,2015-04-13 18:50:42,2015-04-13 22:01:42,191,113.559
rice30,100006755,2015-04-14 09:41:12,2015-04-14 11:28:12,107,43.133
rice30,100006756,2015-04-14 11:49:14,2015-04-14 16:18:14,269,208.205
rice30,100006757,2015-04-14 17:44:00,2015-04-14 21:27:00,223,191.598
rice30,100006758,2015-04-15 10:38:08,2015-04-15 13:07:08,149,74.703
rice30,100006759,2015-04-15 13:32:46,2015-04-15 15:33:46,121,75.949
rice30,100006760,2015-04-15 15:55:04,2015-04-15 18:40:04,165,93.394
rice30,100006761,2015-04-15 22:08:18,2015-04-16 00:17:18,129,106.434
rice30,100006762,2015-04-16 10:30:28,2015-04-16 13:27:28,177,124.669
rice30,100006763,2015-04-16 14:04:44,2015-04-16 14:17:44,13,8.93
rice30,100006764,2015-04-18 10:04:12,2015-04-18 10:13:12,9,5.826
rice30,100006765,2015-04-18 10:36:28,2015-04-18 12:02:28,86,78.25
rice30,100006766,2015-04-18 12:55:52,2015-04-18 14:40:52,105,87.058
rice30,100006767,2015-04-18 15:05:14,2015-04-18 16:18:14,73,29.647
rice30,100006768,2015-04-21 10:59:32,2015-04-21 13:31:32,152,73.225
rice30,100006769,2015-04-21 14:05:44,2015-04-21 15:12:44,67,44.954
rice30,100006770,2015-04-21 16:41:58,2015-04-21 18:11:58,90,82.63
rice30,100006771,2015-04-21 18:42:02,2015-04-21 21:54:02,192,147.414
rice30,100006772,2015-04-21 22:49:22,2015-04-21 22:53:22,4,0.788
