driver,interval_id,start_time,end_time,interval_time,distance
canj1,197089,2015-10-23T08:09:26Z,2015-10-23T08:38:00Z,28,4.538
canj1,197090,2015-10-23T09:04:24Z,2015-10-23T09:34:24Z,30,2.645
canj1,197091,2015-10-23T09:34:24Z,2015-10-23T10:04:24Z,30,0.984
canj1,197092,2015-10-23T10:04:24Z,2015-10-23T10:34:24Z,30,5.928
canj1,197093,2015-10-23T10:34:24Z,2015-10-23T11:04:24Z,30,17.348
canj1,197094,2015-10-23T11:04:24Z,2015-10-23T11:21:42Z,17,21.083
canj1,197095,2015-10-23T12:00:36Z,2015-10-23T12:30:36Z,30,17.504
canj1,197096,2015-10-23T12:30:36Z,2015-10-23T13:00:36Z,30,21.996
canj1,197097,2015-10-23T13:00:36Z,2015-10-23T13:30:36Z,30,31.689
canj1,197098,2015-10-23T13:30:36Z,2015-10-23T14:00:36Z,30,28.898
canj1,197099,2015-10-23T14:00:36Z,2015-10-23T14:30:36Z,30,29.365
canj1,197100,2015-10-23T14:30:36Z,2015-10-23T15:00:36Z,30,22.191
canj1,197101,2015-10-23T15:00:36Z,2015-10-23T15:30:36Z,30,13.266
canj1,197102,2015-10-23T15:30:36Z,2015-10-23T15:38:00Z,7,1.005
canj1,197103,2015-10-23T16:38:10Z,2015-10-23T17:08:10Z,30,0.689
canj1,197104,2015-10-23T17:08:10Z,2015-10-23T17:38:10Z,30,16.434
canj1,197105,2015-10-23T17:38:10Z,2015-10-23T18:08:10Z,30,26.5
canj1,197106,2015-10-23T18:08:10Z,2015-10-23T18:37:56Z,29,9.676
canj1,197107,2015-10-26T07:49:04Z,2015-10-26T08:19:04Z,30,19.432
canj1,197108,2015-10-26T08:19:04Z,2015-10-26T08:49:04Z,30,21.254
canj1,197109,2015-10-26T08:49:04Z,2015-10-26T09:19:04Z,30,27.506
canj1,197110,2015-10-26T09:19:04Z,2015-10-26T09:49:04Z,30,15.135
canj1,197111,2015-10-26T09:49:04Z,2015-10-26T10:19:04Z,30,9.117
canj1,197112,2015-10-26T10:19:04Z,2015-10-26T10:49:04Z,30,11.845
canj1,197113,2015-10-26T10:49:04Z,2015-10-26T10:53:00Z,3,0.842
canj1,197114,2015-10-26T12:02:10Z,2015-10-26T12:32:10Z,30,3.818
canj1,197115,2015-10-26T12:32:10Z,2015-10-26T12:52:50Z,20,3.154
canj1,197116,2015-10-26T13:47:44Z,2015-10-26T14:17:44Z,30,4.326
canj1,197117,2015-10-26T14:17:44Z,2015-10-26T14:47:44Z,30,1.761
canj1,197118,2015-10-26T14:47:44Z,2015-10-26T15:06:58Z,19,5.543
canj1,197119,2015-10-27T01:59:48Z,2015-10-27T02:29:48Z,30,11.199
canj1,197120,2015-10-27T02:29:48Z,2015-10-27T02:59:48Z,30,26.88
canj1,197121,2015-10-27T02:59:48Z,2015-10-27T03:29:48Z,30,23.529
canj1,197122,2015-10-27T03:29:48Z,2015-10-27T03:59:48Z,30,9.77
canj1,197123,2015-10-27T03:59:48Z,2015-10-27T04:22:44Z,22,14.882
canj1,197124,2015-10-27T05:45:52Z,2015-10-27T06:15:52Z,30,10.115
canj1,197125,2015-10-27T06:15:52Z,2015-10-27T06:45:52Z,30,25.841
canj1,197126,2015-10-27T06:45:52Z,2015-10-27T07:15:52Z,30,28.885
canj1,197127,2015-10-27T07:15:52Z,2015-10-27T07:45:52Z,30,19.395
canj1,197128,2015-10-27T07:45:52Z,2015-10-27T07:58:56Z,13,2.568
canj1,197129,2015-10-28T08:05:08Z,2015-10-28T08:22:24Z,17,4.691
canj1,197130,2015-10-28T08:42:58Z,2015-10-28T08:53:00Z,10,0.878
canj1,197131,2015-10-28T09:20:36Z,2015-10-28T09:50:36Z,30,0.692
canj1,197132,2015-10-28T09:50:36Z,2015-10-28T10:20:36Z,30,0.897
canj1,197133,2015-10-28T10:20:36Z,2015-10-28T10:50:36Z,30,3.906
canj1,197134,2015-10-28T10:50:36Z,2015-10-28T11:20:36Z,30,9.645
canj1,197135,2015-10-28T11:20:36Z,2015-10-28T11:50:36Z,30,25.069
