driver,shift_ID,shift_start,shift_end,shift_length,interval_id,n_SCE,SCE_time,SCE_type,start_time,end_time,interval_time,distance,age,precip_intensity,precip_probability,wind_speed,visibility,speed_limit,num_lanes,SCE_binary,cum_drive
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197089,0,NA,NA,2015-10-23T08:09:26Z,2015-10-23T08:38:00Z,28,4.538,46,0,0,0.222,9.812,55,3,0,0.466666666666667
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197090,0,NA,NA,2015-10-23T09:04:24Z,2015-10-23T09:34:24Z,30,2.645,46,0,0,0.228461538461538,8.95923076923077,65.4384615384615,3.25641025641025,0,0.966666666666667
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197091,0,NA,NA,2015-10-23T09:34:24Z,2015-10-23T10:04:24Z,30,0.984,46,0,0,0.21,8.83,63.3333333333333,4.1,0,1.46666666666667
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197092,0,NA,NA,2015-10-23T10:04:24Z,2015-10-23T10:34:24Z,30,5.928,46,0,0,0.32875,7.4425,56.6666666666667,3.92946428571429,0,1.96666666666667
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197093,0,NA,NA,2015-10-23T10:34:24Z,2015-10-23T11:04:24Z,30,17.348,46,0,0,0.46,7.86,66.25,3.23958333333333,0,2.46666666666667
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197094,0,NA,NA,2015-10-23T11:04:24Z,2015-10-23T11:21:42Z,17,21.083,46,0,0,0.613333333333333,9.03,65,4,0,2.75
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197095,0,NA,NA,2015-10-23T12:00:36Z,2015-10-23T12:30:36Z,30,17.504,46,0,0,1.116,10,65,4,0,3.25
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197096,0,NA,NA,2015-10-23T12:30:36Z,2015-10-23T13:00:36Z,30,21.996,46,0,0,1.72,10,65,2.4375,0,3.75
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197097,0,NA,NA,2015-10-23T13:00:36Z,2015-10-23T13:30:36Z,30,31.689,46,0,0,1.7275,7.42,62.5,2.75,0,4.25
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197098,0,NA,NA,2015-10-23T13:30:36Z,2015-10-23T14:00:36Z,30,28.898,46,0,0,2.815,6.975,70,2.29166666666667,0,4.75
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197099,0,NA,NA,2015-10-23T14:00:36Z,2015-10-23T14:30:36Z,30,29.365,46,0,0,2.175,9,70,2.08333333333333,0,5.25
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197100,1,2015-10-23 14:46:08,HB,2015-10-23T14:30:36Z,2015-10-23T15:00:36Z,30,22.191,46,0,0,2.38777777777778,9,60.5555555555556,2.07777777777778,1,5.75
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,197101,0,NA,NA,2015-10-23T15:00:36Z,2015-10-23T15:30:36Z,30,13.266,46,0,0,2.368,10,63,1.7,0,6.25
