driver,shift_ID,n_SCE,SCE_time,SCE_type,start_time,end_time,shift_length,age,precip_intensity,precip_probability,wind_speed,visibility,speed_limit,num_lanes
canj1,1,1,2015-10-23 14:46:08,HB,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628,46,0,0,1.53315789473684,9.00431578947369,63.5863157894737,2.81239348370927
canj1,2,1,2015-10-26 15:06:03,HB,2015-10-26T07:49:04Z,2015-10-26T15:06:58Z,437,46,0,0,0.629861111111111,9.95833333333333,55.302662037037,3.57422288359788
canj1,3,0,NA,NA,2015-10-27T01:59:48Z,2015-10-27T07:58:56Z,359,46,0,0,0.724285714285714,10,63.0102040816327,3.24484936831876
canj1,4,2,2015-10-28 11:58:24;2015-10-28 17:42:36,HB;HB,2015-10-28T08:05:08Z,2015-10-28T20:20:32Z,735,46,0,0,1.9344094488189,9.16181102362205,59.7709973753281,3.09877600527207
canj1,6,0,NA,NA,2015-10-30T09:27:12Z,2015-10-30T21:18:22Z,711,46,0,0,5.17330275229358,9.99663366336634,63.0448885976409,3.2186600351738
canj1,7,1,2015-11-02 07:13:56,HB,2015-11-02T06:26:48Z,2015-11-02T20:06:54Z,820,46,0.0236216666666667,0.276,2.61825,8.88258333333333,62.4479166666667,2.83305224867725
canj1,8,0,NA,NA,2015-11-03T06:29:40Z,2015-11-03T20:00:52Z,811,46,0.000570833333333333,0.0713333333333333,2.13166666666667,9.79216666666667,57.5104166666667,3.52044973544974
canj1,9,1,2015-11-04 08:35:29,HB,2015-11-04T07:57:26Z,2015-11-04T11:22:46Z,205,46,0,0,0.859230769230769,10,56.4737484737485,3.43898281205974
canj1,10,0,NA,NA,2015-11-04T21:39:14Z,2015-11-04T22:34:54Z,55,46,0,0,2.409,10,59.5,3.12070707070707
canj1,12,1,2015-11-06 11:32:11,HB,2015-11-06T10:19:40Z,2015-11-06T21:23:00Z,663,46,0,0,2.99693548387097,9.61838709677419,60.6944444444445,3.24224968579807
canj1,13,0,NA,NA,2015-11-07T08:39:42Z,2015-11-07T21:37:50Z,778,46,0,0,1.69519607843137,6.99969696969697,60.2941176470588,2.77922502334267
canj1,14,1,2015-11-09 19:21:13,HB,2015-11-09T08:24:26Z,2015-11-09T21:38:00Z,793,46,6.72413793103448e-05,0.0100862068965517,2.47465517241379,9.38275862068966,60.2974137931034,3.15798440065681
canj1,16,1,2015-11-11 15:51:07,HB,2015-11-11T08:27:20Z,2015-11-11T19:21:30Z,654,46,0,0,1.79175438596491,6.95456140350877,61.7005012531328,2.85587390192653
canj1,17,0,NA,NA,2015-11-12T05:48:48Z,2015-11-12T18:44:48Z,776,46,0,0,1.91955223880597,9.98984126984127,63.0696517412935,2.92089552238806
canj1,18,0,NA,NA,2015-11-13T05:55:52Z,2015-11-13T14:22:58Z,507,46,0,0,1.38803738317757,9.83177570093458,61.856282450675,3.28627058299956
canj1,19,0,NA,NA,2015-11-16T05:25:16Z,2015-11-16T17:42:14Z,736,46,4.58015267175573e-05,0.00488549618320611,6.3718320610687,8.88328244274809,63.6692111959288,2.78110687022901
canj1,20,0,NA,NA,2015-11-17T06:32:58Z,2015-11-17T20:14:56Z,821,46,3.72727272727273e-05,0.00654545454545455,1.22290909090909,9.89890909090909,60.7069264069264,3.14199658926932
canj1,21,1,2015-11-18 15:49:17,HB,2015-11-18T06:23:32Z,2015-11-18T19:16:12Z,772,46,0,0,2.45557692307692,9.99380281690141,62.5126582278481,2.6516553067186
canj1,22,0,NA,NA,2015-11-19T05:30:30Z,2015-11-19T18:51:48Z,801,46,0,0,1.5574,9.35093333333333,61.3758744855967,2.92126664487776
farj7,1,0,NA,NA,2016-02-23T12:02:12Z,2016-02-23T18:55:40Z,413,54,0.0911766666666667,0.816666666666667,3.66483333333333,3.97983333333333,55.1694444444444,2.98337301587302
farj7,2,0,NA,NA,2016-02-24T07:39:40Z,2016-02-24T17:46:20Z,606,54,0.00560120481927711,0.448975903614458,8.32132530120482,9.37006024096386,58.7213138267355,3.09202524383247
farj7,3,0,NA,NA,2016-02-25T10:50:32Z,2016-02-25T21:46:58Z,656,54,0,0,8.31872340425532,10,60.1309523809524,3.04473995271868
